"Year","Treat.Code","Plot","Subplot","Species","germ.tot","germ.proj","trt.mort","pst.mort","tot.mort","viable"
2016,"C",98,"No Grass","Lasthenia californica",8,8,0,2,2,54
2016,"C",98,"No Grass","Plantago erecta",42,21,1,1,2,84
2016,"C",98,"Grass","Hemizonia congesta",60,28,7,5,12,71
2016,"C",98,"No Grass","Clarkia purpurea",26,23,4,7,11,96
2016,"D",99,"Grass","Agoseris heterophylla",78,28,5,14,19,95
2016,"D",99,"No Grass","Agoseris heterophylla",72,23,2,0,2,95
2016,"D",99,"Grass","Hemizonia congesta",28,24,4,6,11,71
2016,"D",99,"No Grass","Hemizonia congesta",16,16,5,0,5,71
2016,"D",99,"No Grass","Lasthenia californica",9,9,3,1,4,54
2016,"D",99,"Grass","Clarkia purpurea",33,26,1,19,20,96
2016,"D",99,"No Grass","Clarkia purpurea",37,26,3,4,7,96
2016,"D",99,"Grass","Lasthenia californica",2,2,1,1,2,54
2016,"D",99,"Grass","Plantago erecta",29,22,1,1,2,84
2016,"D",99,"No Grass","Plantago erecta",45,23,4,0,4,84
